Main,Middle,Sub,Main,Middle,Sub,Central,Unfiltered,Description,DatapointType,Security
 , ,F07_06.Fdb,2,2,106,,,,DPT-1,Auto
 , ,F07_07.Fdb,2,2,107,,,,DPT-1,Auto
 , ,F07_08.Fdb,2,2,108,,,,DPT-1,Auto
 , ,F07_All.Scn,2,2,200,,,场景,DPT-18,Auto
 , ,F07_Actr.Lock,2,2,201,,,执行器锁定,DPT-1,Auto
 , ,F07_PB.Lock,2,2,211,,,面板锁定,DPST-1-2,Auto
 , ,F07_Scd.En,2,2,250,,,定时启用,DPST-1-3,Auto
 ,F08, ,2,3,,,,,,Auto
 , ,F08_01.Ctl,2,3,1,,,,DPT-1,Auto
 , ,F08_02.Ctl,2,3,2,,,,DPT-1,Auto
 , ,F08_03.Ctl,2,3,3,,,,DPT-1,Auto
 , ,F08_04.Ctl,2,3,4,,,,DPT-1,Auto
 , ,F08_05.Ctl,2,3,5,,,,DPT-1,Auto
 , ,F08_06.Ctl,2,3,6,,,,DPT-1,Auto
 , ,F08_07.Ctl,2,3,7,,,,DPT-1,Auto
 , ,F08_08.Ctl,2,3,8,,,,DPT-1,Auto
 , ,F08_01.Fdb,2,3,101,,,,DPT-1,Auto
 , ,F08_02.Fdb,2,3,102,,,,DPT-1,Auto
 , ,F08_03.Fdb,2,3,103,,,,DPT-1,Auto
 , ,F08_04.Fdb,2,3,104,,,,DPT-1,Auto
 , ,F08_05.Fdb,2,3,105,,,,DPT-1,Auto
 , ,F08_06.Fdb,2,3,106,,,,DPT-1,Auto
 , ,F08_07.Fdb,2,3,107,,,,DPT-1,Auto
 , ,F08_08.Fdb,2,3,108,,,,DPT-1,Auto
 , ,F08_All.Scn,2,3,200,,,场景,DPT-18,Auto
 , ,F08_Actr.Lock,2,3,201,,,执行器锁定,DPT-1,Auto
 , ,F08_PB.Lock,2,3,211,,,面板锁定,DPST-1-2,Auto
 , ,F08_Scd.En,2,3,250,,,定时启用,DPST-1-3,Auto
 ,F09, ,2,4,,,,,,Auto
 , ,F09_01.Ctl,2,4,1,,,,DPT-1,Auto
 , ,F09_02.Ctl,2,4,2,,,,DPT-1,Auto
 , ,F09_03.Ctl,2,4,3,,,,DPT-1,Auto
 , ,F09_04.Ctl,2,4,4,,,,DPT-1,Auto
 , ,F09_05.Ctl,2,4,5,,,,DPT-1,Auto
 , ,F09_06.Ctl,2,4,6,,,,DPT-1,Auto
 , ,F09_07.Ctl,2,4,7,,,,DPT-1,Auto
 , ,F09_08.Ctl,2,4,8,,,,DPT-1,Auto
 , ,F09_01.Fdb,2,4,101,,,,DPT-1,Auto
 , ,F09_02.Fdb,2,4,102,,,,DPT-1,Auto
 , ,F09_03.Fdb,2,4,103,,,,DPT-1,Auto
 , ,F09_04.Fdb,2,4,104,,,,DPT-1,Auto
 , ,F09_05.Fdb,2,4,105,,,,DPT-1,Auto
 , ,F09_06.Fdb,2,4,106,,,,DPT-1,Auto
 , ,F09_07.Fdb,2,4,107,,,,DPT-1,Auto
 , ,F09_08.Fdb,2,4,108,,,,DPT-1,Auto
 , ,F09_All.Scn,2,4,200,,,场景,DPT-18,Auto
 , ,F09_Actr.Lock,2,4,201,,,执行器锁定,DPT-1,Auto
 , ,F09_PB.Lock,2,4,211,,,面板锁定,DPST-1-2,Auto
 , ,F09_Scd.En,2,4,250,,,定时启用,DPST-1-3,Auto
 ,F10, ,2,5,,,,,,Auto
 , ,F10_01.Ctl,2,5,1,,,,DPT-1,Auto
 , ,F10_02.Ctl,2,5,2,,,,DPT-1,Auto
 , ,F10_03.Ctl,2,5,3,,,,DPT-1,Auto
 , ,F10_04.Ctl,2,5,4,,,,DPT-1,Auto
 , ,F10_05.Ctl,2,5,5,,,,DPT-1,Auto
 , ,F10_06.Ctl,2,5,6,,,,DPT-1,Auto
 , ,F10_07.Ctl,2,5,7,,,,DPT-1,Auto
 , ,F10_08.Ctl,2,5,8,,,,DPT-1,Auto
 , ,F10_01.Fdb,2,5,101,,,,DPT-1,Auto
 , ,F10_02.Fdb,2,5,102,,,,DPT-1,Auto
 , ,F10_03.Fdb,2,5,103,,,,DPT-1,Auto
 , ,F10_04.Fdb,2,5,104,,,,DPT-1,Auto
 , ,F10_05.Fdb,2,5,105,,,,DPT-1,Auto
 , ,F10_06.Fdb,2,5,106,,,,DPT-1,Auto
 , ,F10_07.Fdb,2,5,107,,,,DPT-1,Auto
 , ,F10_08.Fdb,2,5,108,,,,DPT-1,Auto
 , ,F10_All.Scn,2,5,200,,,场景,DPT-18,Auto
 , ,F10_Actr.Lock,2,5,201,,,执行器锁定,DPT-1,Auto
 , ,F10_PB.Lock,2,5,211,,,面板锁定,DPST-1-2,Auto
 , ,F10_Scd.En,2,5,250,,,定时启用,DPST-1-3,Auto
 ,F11, ,2,6,,,,,,Auto
 , ,F11_01.Ctl,2,6,1,,,,DPT-1,Auto
 , ,F11_02.Ctl,2,6,2,,,,DPT-1,Auto
 , ,F11_03.Ctl,2,6,3,,,,DPT-1,Auto
 , ,F11_04.Ctl,2,6,4,,,,DPT-1,Auto
 , ,F11_05.Ctl,2,6,5,,,,DPT-1,Auto
 , ,F11_06.Ctl,2,6,6,,,,DPT-1,Auto
 , ,F11_07.Ctl,2,6,7,,,,DPT-1,Auto
 , ,F11_08.Ctl,2,6,8,,,,DPT-1,Auto
 , ,F11_01.Fdb,2,6,101,,,,DPT-1,Auto
 , ,F11_02.Fdb,2,6,102,,,,DPT-1,Auto
 , ,F11_03.Fdb,2,6,103,,,,DPT-1,Auto
 , ,F11_04.Fdb,2,6,104,,,,DPT-1,Auto
 , ,F11_05.Fdb,2,6,105,,,,DPT-1,Auto
 , ,F11_06.Fdb,2,6,106,,,,DPT-1,Auto
 , ,F11_07.Fdb,2,6,107,,,,DPT-1,Auto
 , ,F11_08.Fdb,2,6,108,,,,DPT-1,Auto
 , ,F11_All.Scn,2,6,200,,,场景,DPT-18,Auto
 , ,F11_Actr.Lock,2,6,201,,,执行器锁定,DPT-1,Auto
 , ,F11_PB.Lock,2,6,211,,,面板锁定,DPST-1-2,Auto
 , ,F11_Scd.En,2,6,250,,,定时启用,DPST-1-3,Auto
F12-F17, , ,3,,,,,,,Auto
 ,F12, ,3,1,,,,,,Auto
 , ,F12_01.Ctl,3,1,1,,,,DPT-1,Auto
 , ,F12_02.Ctl,3,1,2,,,,DPT-1,Auto
 , ,F12_03.Ctl,3,1,3,,,,DPT-1,Auto
 , ,F12_04.Ctl,3,1,4,,,,DPT-1,Auto
 , ,F12_05.Ctl,3,1,5,,,,DPT-1,Auto
 , ,F12_06.Ctl,3,1,6,,,,DPT-1,Auto
 , ,F12_07.Ctl,3,1,7,,,,DPT-1,Auto
 , ,F12_08.Ctl,3,1,8,,,,DPT-1,Auto
 , ,F12_01.Fdb,3,1,101,,,,DPT-1,Auto
 , ,F12_02.Fdb,3,1,102,,,,DPT-1,Auto
 , ,F12_03.Fdb,3,1,103,,,,DPT-1,Auto
 , ,F12_04.Fdb,3,1,104,,,,DPT-1,Auto
 , ,F12_05.Fdb,3,1,105,,,,DPT-1,Auto
 , ,F12_06.Fdb,3,1,106,,,,DPT-1,Auto
 , ,F12_07.Fdb,3,1,107,,,,DPT-1,Auto
 , ,F12_08.Fdb,3,1,108,,,,DPT-1,Auto
 , ,F12_All.Scn,3,1,200,,,场景,DPT-18,Auto
 , ,F12_Actr.Lock,3,1,201,,,执行器锁定,DPT-1,Auto
 , ,F12_PB.Lock,3,1,211,,,面板锁定,DPST-1-2,Auto
 , ,F12_Scd.En,3,1,250,,,定时启用,DPST-1-3,Auto
 ,F13, ,3,2,,,,,,Auto
 , ,F13_01.Ctl,3,2,1,,,,DPT-1,Auto
 , ,F13_02.Ctl,3,2,2,,,,DPT-1,Auto
 , ,F13_03.Ctl,3,2,3,,,,DPT-1,Auto
 , ,F13_04.Ctl,3,2,4,,,,DPT-1,Auto
 , ,F13_05.Ctl,3,2,5,,,,DPT-1,Auto
 , ,F13_06.Ctl,3,2,6,,,,DPT-1,Auto
 , ,F13_07.Ctl,3,2,7,,,,DPT-1,Auto
 , ,F13_08.Ctl,3,2,8,,,,DPT-1,Auto
 , ,F13_01.Fdb,3,2,101,,,,DPT-1,Auto
 , ,F13_02.Fdb,3,2,102,,,,DPT-1,Auto
 , ,F13_03.Fdb,3,2,103,,,,DPT-1,Auto
 , ,F13_04.Fdb,3,2,104,,,,DPT-1,Auto
 , ,F13_05.Fdb,3,2,105,,,,DPT-1,Auto
 , ,F13_06.Fdb,3,2,106,,,,DPT-1,Auto
 , ,F13_07.Fdb,3,2,107,,,,DPT-1,Auto
